id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
95745,0.661656,tcp,http,FIN,10,10,804,1330,28.715827,62,252,8753.792969,14472.77734,2,2,73.517333,64.571555,4564.721941,110.757008,255,4027744985,1802483418,255,0.109361,0.05091,0.058451,80.0,133.0,1,220,6,1,2,2,1,5,0,0,1,2,5,0,Normal,0
44164,1.501572,tcp,http,FIN,60,16,68195,698,49.947654,254,252,357273.5625,3489.676025,27,1,25.052339,102.143141,2413.959242,128.161133,255,1501886734,1889593516,255,0.201299,0.071565,0.129734,1137.0,44.0,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
35747,0.022939,tcp,-,FIN,40,42,2542,23508,3531.10419,31,29,864553.8125,8003487.5,7,14,0.579667,0.547829,37.850544,36.773212,255,576950618,2760384187,255,0.000601,0.000475,0.000126,64.0,560.0,0,0,8,0,4,1,1,1,0,0,0,6,6,0,Normal,0
13714,0.333839,tcp,ssh,FIN,32,24,3728,5474,164.750074,31,29,86556.69531,125713.2969,7,7,10.769,14.482174,646.395696,18.855139,255,1619850286,3769767619,255,0.000753,0.000625,0.000128,117.0,228.0,0,0,1,0,2,1,1,5,0,0,0,3,1,0,Normal,0
32128,0.023857,tcp,-,FIN,50,48,3062,32538,4065.89272,31,29,1006329.438,10683992.0,7,18,0.490708,0.496894,0.0,31.697421,255,457959087,2633609025,255,0.00091,0.0005,0.00041,61.0,678.0,0,0,9,0,5,1,1,6,0,0,0,4,8,0,Normal,0
98555,0.450403,tcp,http,FIN,10,8,792,1120,37.743976,62,252,12664.21387,17406.63281,2,2,50.044778,53.655,2552.511185,94.233352,255,3067692882,2963142543,255,0.15083,0.074152,0.076678,79.0,140.0,1,158,7,1,2,2,1,6,0,0,1,3,6,0,Normal,0
67498,4e-06,udp,-,INT,2,0,1064,0,250000.0006,254,0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532.0,0.0,0,0,40,2,14,14,1,39,0,0,0,14,39,0,Normal,0
30533,0.018879,tcp,-,FIN,40,42,2542,23508,4290.481465,31,29,1050479.375,9724668.0,7,14,0.475333,0.470359,29.377086,28.219498,255,2105964203,4280856434,255,0.000666,0.000532,0.000134,64.0,560.0,0,0,3,0,3,1,1,2,0,0,0,3,7,0,Normal,0
74784,0.270394,tcp,-,FIN,10,6,542,268,55.474604,254,252,14438.19043,6627.366211,2,1,28.531333,42.212398,1473.120348,65.608289,255,1570060321,3089165182,255,0.087143,0.059323,0.02782,54.0,45.0,0,0,11,1,2,2,2,10,0,0,0,3,10,0,Normal,0
14645,0.001009,udp,dns,CON,2,2,130,162,2973.240834,31,29,515361.75,642220.0,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65.0,81.0,0,0,4,0,4,2,1,3,0,0,0,7,2,0,Normal,0
22398,0.069001,tcp,-,FIN,48,50,2958,33044,1405.776796,31,29,335879.2188,3754612.5,7,18,1.461277,1.396204,81.948968,80.439677,255,3718747027,3770657742,255,0.000698,0.000583,0.000115,62.0,661.0,0,0,4,0,1,1,1,2,0,0,0,2,6,0,Normal,0
14403,0.001035,udp,dns,CON,2,2,146,178,2898.550823,31,29,564251.25,687922.75,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73.0,89.0,0,0,3,0,2,1,1,1,0,0,0,4,1,0,Normal,0
22644,0.006057,tcp,ssh,FIN,32,24,3728,5474,9080.403158,31,29,4770678.5,6928843.0,7,7,0.2019,0.23087,12.584632,0.34075,255,3856606839,3861132223,255,0.000744,0.000617,0.000127,117.0,228.0,0,0,3,0,2,1,1,1,0,0,0,1,1,0,Normal,0
10578,0.035879,tcp,-,FIN,68,70,4014,59460,3818.389479,31,29,881852.875,13068591.0,7,28,0.53091,0.512667,0.0,29.85051,255,1963638510,1975905956,255,0.000627,0.000501,0.000126,59.0,849.0,0,0,7,0,4,1,1,1,0,0,0,4,9,0,Normal,0
104502,0.425263,tcp,-,FIN,10,6,534,268,35.272291,254,252,9048.518555,4213.863281,2,1,47.239444,69.195203,2556.16627,111.033656,255,4257706291,1142293754,255,0.109108,0.079278,0.02983,53.0,45.0,0,0,3,1,1,1,1,3,0,0,0,8,4,0,Normal,0
12316,0.95572,tcp,ftp,FIN,52,54,2934,3742,109.864813,31,29,24090.73828,30745.40625,11,15,18.733295,18.022207,1451.911009,53.043254,255,3789156015,3802113773,255,0.00068,0.000539,0.000141,56.0,69.0,0,0,2,0,4,1,1,4,1,1,0,7,1,0,Normal,0
3565,0.036917,tcp,-,FIN,28,42,2198,34406,1869.057565,31,29,459408.9375,7278381.0,5,15,1.356,0.91125,75.135579,63.79151,255,234978209,2383792670,255,0.000586,0.000464,0.000122,79.0,819.0,0,0,11,0,6,8,1,5,0,0,0,11,6,0,Normal,0
39148,2.368016,tcp,http,FIN,330,746,17642,1087890,453.966526,31,29,59421.89453,3670353.5,2,370,7.218595,3.177811,437.186716,269.39183,255,3750077710,1607397803,255,0.000639,0.000514,0.000125,53.0,1458.0,1,524288,3,0,5,1,1,3,0,0,1,3,1,0,Normal,0
4156,0.018053,tcp,-,FIN,16,18,1540,1644,1827.950953,31,29,639893.625,688195.8125,4,4,1.182067,1.035294,72.74343,1.969613,255,1327497873,3484923301,255,0.000564,0.00045,0.000114,96.0,91.0,0,0,7,0,6,5,1,9,0,0,0,6,13,0,Normal,0
19627,0.124312,udp,-,CON,4,4,568,304,56.309931,31,29,27414.89258,14672.75879,0,0,36.340332,24.317334,51.383094,34.382832,0,0,0,0,0.0,0.0,0.0,142.0,76.0,0,0,7,0,7,1,1,3,0,0,0,4,8,0,Normal,0
136319,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,26,2,16,16,16,26,0,0,0,16,26,0,Generic,1
57368,0.219511,tcp,-,FIN,10,8,472,564,77.444865,254,252,15488.97266,18003.6543,2,2,24.390111,27.390285,1372.203859,49.259012,255,3946740497,2358327248,255,0.030817,0.016798,0.014019,47.0,71.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
90544,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0,0,10,2,3,3,3,11,0,0,0,3,10,0,Exploits,1
51025,1.093025,tcp,-,FIN,10,8,2516,354,15.553167,254,252,16577.8457,2268.932617,2,1,115.407,143.608719,7746.846685,195.241047,255,1429360674,4002771407,255,0.133766,0.087756,0.04601,252.0,44.0,0,0,3,1,2,1,1,2,0,0,0,2,3,0,Fuzzers,1
89739,2.034724,tcp,smtp,FIN,52,24,48180,1884,36.860036,62,252,185790.3125,7100.717285,23,8,39.896548,85.120563,3270.247065,116.130797,255,2383018343,1552474891,255,0.135775,0.076369,0.059406,927.0,79.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
113670,0.897585,tcp,smtp,FIN,34,22,22071,1806,61.275536,62,252,190930.1094,15365.67578,14,8,27.199547,41.606332,1684.609293,50.484977,255,412169003,850993983,255,0.065916,0.011736,0.05418,649.0,82.0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
141750,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,34,2,34,34,18,34,0,0,0,34,34,0,Generic,1
136350,1.198459,tcp,ftp,FIN,22,22,1178,1632,35.879408,62,252,7509.643555,10400.02148,7,9,57.038904,55.362906,3090.185911,79.071805,255,1400689087,1147740415,255,0.044381,0.03583,0.008551,54.0,74.0,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits,1
81348,9e-06,vmtp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0,0,12,2,6,5,5,17,0,0,0,6,12,0,Analysis,1
143752,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,24,2,16,16,16,24,0,0,0,16,24,0,Generic,1
174189,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
121073,1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84.0,0.0,0,0,5,2,2,2,2,2,0,0,0,3,2,0,Reconnaissance,1
145836,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,42,2,34,33,17,42,0,0,0,34,42,0,Generic,1
158388,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,17,2,18,17,17,17,0,0,0,18,17,0,Generic,1
71933,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0,0,6,2,1,1,1,6,0,0,0,11,6,0,Exploits,1
164563,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,34,2,34,34,16,34,0,0,0,34,34,0,Generic,1
59767,9e-06,ib,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0,0,4,2,3,3,3,4,0,0,0,3,4,0,Fuzzers,1
61395,0.613861,tcp,-,FIN,12,8,1036,766,30.951631,254,252,12380.65234,8744.650391,3,2,54.188364,79.217141,2966.563337,129.913367,255,1172850344,2223748938,255,0.076925,0.059332,0.017593,86.0,96.0,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Fuzzers,1
162727,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,33,2,16,16,16,33,0,0,0,17,33,0,Generic,1
137917,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57.0,0.0,0,0,27,2,11,11,11,27,0,0,0,12,27,0,Generic,1
174190,14.14001202583313,udp,other,CON,16,0,512,0,36.209304423829366,64,0,36.209304423829366,0.0,0,0,942.6674683888752,0.0,1042.3784241004328,0.0,0,0,0,0,0.0,0.0,0.0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174191,0.1010479927062988,tcp,https,OTH,6,7,442,535,9668.673012037962,128,118,4374.159131341636,5294.513880696323,0,0,10.164833068847656,8.6976687113444,22.486170494160717,20.48397636066432,0,0,0,0,0.0,0.0,0.0,73.66666666666667,76.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174192,0.0,udp,other,CON,1,0,746,0,746000000.0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,746.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174193,14.712744951248167,tcp,https,OTH,2,2,81,165,16.720197408107072,128,117,5.505430853888913,11.214766554218157,0,0,14712.744951248167,14664.8530960083,0.0,0.0,0,0,0,0,0.0,0.0,0.0,40.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174194,10.252577066421509,udp,https,CON,213,1180,52870,1477095,149227.35913986247,128,60,5156.752264087432,144070.60687577503,0,0,48.358684440828725,8.692609950381899,383.0102744216202,163.72178213042713,0,0,0,0,0.0,0.0,0.0,248.2159624413144,1251.7754237288125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174195,0.047335147857666,tcp,https,OTH,1,1,41,52,1964.7134150641193,128,117,866.1639786841814,1098.549436379937,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174196,5.163918972015381,udp,https,CON,2,2,118,158,53.447779001900635,128,55,22.850862037044475,30.596916964856163,0,0,5163.918972015381,5092.922925949097,0.0,0.0,0,0,0,0,0.0,0.0,0.0,59.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174197,0.0028491020202636,tcp,https,OTH,1,1,41,52,32641.8637656912,128,54,14390.499079497908,18251.364686192468,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174198,0.0035610198974609,tcp,https,OTH,4,3,235,120,99690.54097482697,57,128,65992.32994108195,33698.21103374397,0,0,1.187006632486979,0.3834962844848633,1.4226611888392455,0.3966861381845346,0,0,0,0,0.0,0.0,0.0,58.75,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174199,0.0,udp,other,CON,1,0,746,0,746000000.0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,746.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174200,0.0494568347930908,tcp,https,OTH,1,1,41,52,1880.4276575538606,128,118,829.0057415022393,1051.4219160516204,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174201,0.0486938953399658,tcp,https,OTH,1,1,41,52,1909.8903332892678,128,117,841.9946630630101,1067.8956702262567,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174202,0.0034019947052001,tcp,https,RST,3,2,195,80,80834.92886677639,57,128,57319.31319643984,23515.61567033429,0,0,1.7009973526000977,0.6577968597412109,1.269968839330259,0.0,0,0,0,0,0.0,0.0,0.0,65.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174203,0.0484218597412109,tcp,https,OTH,1,1,41,52,1920.620159924372,128,117,846.7250167408516,1073.8951431835192,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174204,0.0040111541748046,tcp,https,OTH,2,1,104,68,42880.4260580133,58,128,25927.69947693771,16952.726581074654,0,0,4.011154174804688,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174205,0.059783935546875,tcp,https,OTH,2,1,105,69,2910.480857580398,44,128,1756.324655436447,1154.156202143951,0,0,59.783935546875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52.5,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174206,0.048872947692871,tcp,https,OTH,1,1,41,52,1902.8932035045991,128,117,838.9099069213808,1063.9832965832147,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174207,0.0045890808105468,tcp,https,OTH,1,1,41,52,20265.49625935195,128,54,8934.251039068995,11331.245220282626,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174208,0.0023250579833984,tcp,https,OTH,1,1,41,52,39999.00246103427,128,57,17633.9688269073,22365.03363412633,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174209,0.0,udp,other,CON,1,0,746,0,746000000.0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,746.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174210,0.0009629726409912,tcp,dns,OTH,1,1,41,52,96575.95246348216,128,64,42576.4951720723,53999.45729140876,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0
174211,0.0036008358001708,tcp,https,OTH,4,3,235,120,98588.22220751113,57,128,65262.62596835066,33325.596239157785,0,0,1.2002786000569663,0.3650188446044922,1.4699742754201757,0.3648231207102987,0,0,0,0,0.0,0.0,0.0,58.75,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,0